date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:25	40402/40402	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Dec%202015%2012:36:04%20GMT	https://abkaabi.com/public/assets/plugins/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/plugins/owl.carousel/owl.carousel.min.js	(from https://abkaabi.com/)
23:18:25	4767/4767	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Apr%202018%2006:37:00%20GMT	https://abkaabi.com/public/assets/js/scripts.0.0.1.js	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/js/scripts.0.0.1.js	(from https://abkaabi.com/)
23:18:26	150004/150004	---M--	200	added ('OK')	font/otf	date:Wed,%2024%20Aug%202016%2000:13:00%20GMT	https://abkaabi.com/public/assets/fonts/din-next-light.otf	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/din-next-light.otf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:26	140148/140148	---M--	200	added ('OK')	font/otf	date:Wed,%2024%20Aug%202016%2000:14:06%20GMT	https://abkaabi.com/public/assets/fonts/din-next-regular.otf	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/din-next-regular.otf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:26	136244/136244	---M--	200	added ('OK')	font/otf	date:Wed,%2024%20Aug%202016%2000:12:24%20GMT	https://abkaabi.com/public/assets/fonts/din-next-medium.otf	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/din-next-medium.otf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:27	132380/132380	---M--	200	added ('OK')	font/otf	date:Wed,%2024%20Aug%202016%2000:11:52%20GMT	https://abkaabi.com/public/assets/fonts/din-next-bold.otf	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/din-next-bold.otf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:27	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfont3e6e.eot	(from https://abkaabi.com/public/assets/css/style.css)
23:18:27	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfontd41d.eot	(from https://abkaabi.com/public/assets/css/style.css)
23:18:28	71896/71896	---M--	200	added ('OK')	font/woff2	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://abkaabi.com/public/assets/css/style.css)
23:18:28	90412/90412	---M--	200	added ('OK')	font/woff	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfont3e6e.woff	(from https://abkaabi.com/public/assets/css/style.css)
23:18:28	152796/152796	---M--	200	added ('OK')	font/ttf	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:28	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.eot	(from https://abkaabi.com/public/assets/css/style.css)
23:18:28	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	18028/18028	---M--	200	added ('OK')	font/woff2	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.woff2	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	391622/391622	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20May%202016%2009:44:26%20GMT	https://abkaabi.com/public/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/fontawesome-webfont3e6e.svg	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	23424/23424	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.woff	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	45404/45404	---M--	200	added ('OK')	font/ttf	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.ttf	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Nov%202015%2017:59:06%20GMT	https://abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/fonts/glyphicons-halflings-regular.svg	(from https://abkaabi.com/public/assets/css/style.css)
23:18:29	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Sep%202021%2020:18:29%20GMT	https://abkaabi.com/public/assets/css/owl.video.play.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/css/owl.video.play.png	(from https://abkaabi.com/public/assets/css/style.css)
23:18:30	3533/3533	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202018%2020:48:40%20GMT	https://abkaabi.com/public/assets/images/footer-bg.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/footer-bg.png	(from https://abkaabi.com/public/assets/css/style.css)
23:18:30	65345/65345	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Mar%202018%2020:48:40%20GMT	https://abkaabi.com/public/assets/images/body-bg.jpg	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/body-bg.jpg	(from https://abkaabi.com/public/assets/css/style.css)
23:18:30	11346/11346	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:30%20GMT	https://abkaabi.com/site/show/58	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/58.html	(from https://abkaabi.com/site/cat/5)
23:18:30	4739/4739	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2010:08:01%20GMT	https://abkaabi.com/uploads/fbedd07704109fe82b25eae969fb731b.jpeg	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/fbedd07704109fe82b25eae969fb731b.jpg	(from https://abkaabi.com/site/cat/5)
23:18:31	11325/11325	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:31%20GMT	https://abkaabi.com/site/show/57	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/57.html	(from https://abkaabi.com/site/cat/5)
23:18:31	11663/11663	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2010:07:14%20GMT	https://abkaabi.com/uploads/a81e4527c94e078fbe219703ab85d94d.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/a81e4527c94e078fbe219703ab85d94d.png	(from https://abkaabi.com/site/cat/5)
23:18:31	11326/11326	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:31%20GMT	https://abkaabi.com/site/show/56	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/56.html	(from https://abkaabi.com/site/cat/5)
23:18:31	3929/3929	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2010:06:15%20GMT	https://abkaabi.com/uploads/a988d58e8eb06010f5457246498a28be.jpeg	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/a988d58e8eb06010f5457246498a28be.jpg	(from https://abkaabi.com/site/cat/5)
23:18:32	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:32%20GMT	https://abkaabi.com/site/cat/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/cat/	(from https://abkaabi.com/site/cat/5)
23:18:32	7081/7081	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:32%20GMT	https://abkaabi.com/site	C:/My%20Web%20Sites/dzamha/abkaabi.com/site.html	(from https://abkaabi.com/site/cat/5)
23:18:32	8709/8709	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:32%20GMT	https://abkaabi.com/site/show/27	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/27.html	(from https://abkaabi.com/site/cat/4)
23:18:33	31746/31746	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Aug%202021%2005:38:33%20GMT	https://abkaabi.com/uploads/c5847d5042d903fab7edeeb275798983.jpeg	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/c5847d5042d903fab7edeeb275798983.jpg	(from https://abkaabi.com/site/cat/4)
23:18:33	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:33%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/58)
23:18:33	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:33%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/58)
23:18:34	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:34%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/58)
23:18:34	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:34%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/57)
23:18:34	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:34%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/57)
23:18:35	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:35%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/57)
23:18:35	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:35%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/56)
23:18:35	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:35%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/56)
23:18:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:36%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/56)
23:18:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:36%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/27)
23:18:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:36%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/27)
23:18:37	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Sep%202021%2020:18:37%20GMT	https://abkaabi.com/site/show/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/show/	(from https://abkaabi.com/site/show/27)
